,link,name,price,rating,description,how_to_use,country_of_origin
0,https://goldapple.ru/32110200005-moschino-toy2,MOSCHINO TOY2,5 750₽,4.7,"Культовый аромат от Moschino в виде плюшевого мишки возвращается! Второй эксклюзивный запуск, на этот раз – в стеклянном флаконе. Искрящуюся бодрость мандарина и яблока сорта «Гренни Смит» сопровождают нежные цветочные ноты магнолии, раскрывая свежий, игривый аромат. Чистая и утонченная нота лепестков жасмина усиливается бархатистым звучанием пиона и хрустящей свежестью белой смородины. Древесные ноты амбры и сандала добавляют невероятную чувственность, в то время как акцент кристаллического мускуса наполняет аромат нежностью и сиянием.",нет информации,Италия
1,https://goldapple.ru/19000200196-far-very-far-18-08,NEYDO Far very far 18.08,6 200₽,4.3,"Аромат Far Very Far вдохновлен сном Поля о необыкновенном пляже, где океан и небо меняются местами, где только бесконечный пляж и шум прибоя. Аромат-бриз с нотами жасмина и пиона освежает и расслабляет, а цедровый акцент с травяным нюансом бодрит и заряжает энергией. Смело ныряйте в него, чтобы отдохнуть от шума и суеты городской жизни.Страна производства парфюмерной композиции - ФранцияPaul, 18.08Остров. Пляж. Я лежу на песке и смотрю вверх. Надо мной нависает искрящийся синевой бескрайний океан. Одна за одной с шумом перекатываются волны. Протягиваю руку вверх, океан опускается ниже, и пальцы легко погружаются в голубую прохладу. Чувствую запах моря и соленый привкус на языке. И тут яркий блик вдалеке привлекает мое внимание. Встаю. Океан поднимается вместе со мной.Прикладываю ладонь козырьком ко лбу и щурюсь на солнце, старясь рассмотреть, что же там такое. На воде покачивается легкая прозрачная лодка из плексигласа. Но на борту никого нет. Я совершенно один. Неожиданно замечаю на песке тень лимонного дерева. Осматриваюсь по сторонам – деревьев нет вообще! И уж точно никаких плодов поблизости. Но терпкий аромат цедры пропитывает воздух. Он буквально струится по моим венам! На адреналине вхожу в свежую прохладную тень невидимого дерева.Вдыхаю полной грудью и понимаю, что не хочу возвращаться в свой привычный мир, где всему есть объяснение! Срываюсь с места и бегу, набирая скорость, чтобы оттолкнуться и нырнуть в океан надо мной. Но чем выше я прыгаю, тем выше поднимется океан – и я каждый раз оказываюсь на песке.Страна происхождения товара может отличаться (Республика Корея/Франция).",Только для наружного применения.,Франция
2,https://goldapple.ru/80390100011-zen,SHISEIDO Zen,10 500₽,4.7,"Сочетание фруктовых и цветочных нот уравновешивает теплый аромат пачули. Парфюмерная композиция Shiseido Zen окутает Вас прозрачным покрывалом чувственности и глубины. ВЕРХНИЕ НОТЫ: грейпфрут, бергамот, персик, ананас, голубая роза. НОТЫ СЕРДЦА: фрезия, гардения, красное яблоко, фиалка, ландыш, гиацинт, китайская роза, цветок лотоса. БАЗОВЫЕ НОТЫ: пачули, кедр, мускус, белый мускус, морской бриз, амбра, фимиам.",нет информации,Франция
3,https://goldapple.ru/19000264457-cristal,NARCISO RODRIGUEZ Narciso cristal,16 010₽,4.6,"NARCISO eau de parfum cristal передает внутренний свет благодаря сияющим верхним нотам, чистому и нежному сердцу и чувственному шлейфу.Искрящиеся начальные акценты бергамота словно озаряют своим ярким звучанием бархатные лепестки пышного букета, состоящего из аккордов розы и белых цветов.Затем постепенно раскрываются страстные средние ноты мускуса, характерные для всех ароматов NARCISO. Мускус подчеркнут элегантными древесными и амбровыми оттенками кедра и кашмерана, которые придают парфюму таинственный и быстро распространяющийся шлейф.Сверкающие верхние ноты искусно уравновешены насыщенными нотами, что делает звучание композиции легким и одновременно глубоким.Культовый флакон NARCISO предстает в своей чистейшей форме: розоватое полупрозрачное стекло символизирует утонченность аромата, который находится внутри. Матовый розовый колпачок контрастирует с блестящим стеклом. Роскошный дизайн парфюма идеально передает пленительное сияние, присущее женщине NARCISO.","Наносить на запястье, за мочку уха, на сгиб локтя, на шею в районе межключичной впадины.",Франция
4,https://goldapple.ru/19000279936-good-girl-blush-elixir,CAROLINA HERRERA Good Girl BLUSH ELIXIR,13 741₽,4.9,"Насыщенный аромат Good Girl Blush Elixir усиливает ноты классической композиции Good Girl Blush и очаровывает выразительным и женственным сочетанием соблазнительной розы, интенсивной гурманской ванили и дымного, интригующего аккорда пачулей.Этот загадочный цветочно-древесный эликсир, дополненный акцентом бергамота и яркой нотой иланг-иланга, окутывает нежностью и чувственностью. Культовый флакон в виде туфельки с золотистым каблуком теперь представлен в изысканных черно-розовых тонах.",Только для наружного применения.,Испания
5,https://goldapple.ru/26161100001-soleil-de-capri,MONTALE Soleil de Capri,18 600₽,4.5,"Еще один представитель бренда Montale, созданный для мужчин и женщин. Туалетная вода была выпущена в 2007 году, традиционно автором выступил сам Пьер Монталь (Pierre Montale). Данная композиция относится к семейству фруктово-цветочных ароматов и преисполнена свежими, актуальными для лета акцентами.",нет информации,Франция
6,https://goldapple.ru/83290100004-vetiver-d-haiti-au-the-vert,CHOPARD Vetiver d'Haiti au The Vert,30 490₽,4.4,"Парфюмерная вода Chopard Vtiver d hati au th vert — чувственный аромат для мужчин и женщин, на создание которого вдохновила чарующая атмосфера каннского фестиваля.Верхние ноты композиции раскрываются нежностью зеленого чая, удачно дополненного амбреттой. В сердце Vtiver d hati au th vert — теплый ветивер, оттененный кедровыми акцентами. В шлейфе парфюмерной воды переливается изящный мускусный аккорд.",Только для наружного применения.,Италия
7,https://goldapple.ru/19000154011-white-musk,TESORI D’ORIENTE White musk,1 090₽,4.2,"Нежный, мягкий, гармоничный аромат кристальной чистоты с бархатной цветочной нотой.Неповторимое звучание белого мускуса в композиции Tesori d’Orienre оставляет на теле и одежде обволакивающий кремовый запах чистоты и спокойствия. Классические альдегиды на старте плавно переходят в нежную россыпь ирисовой пудры. По мере раскрытия белый мускус смягчается, становится пушистым, лаская кожу и пробуждая тайные желания.Tesori d’Oriente Туалетная вода 100 мл приглашает Вас окунуться в мир эстетики и великолепия. Уникальная разработка итальянских парфюмеров создает туалетную воду с ярким ароматом, обладающим хорошей стойкостью до 10 часов. Туалетная вода Tesori d'Oriente принадлежит к группе восточных ароматов. Ольфакторное путешествие унесет вас от повседневной жизни: бегство в живописные уголки мира, окруженные бирюзовыми водами, где вы сможете найти свой внутренний покой.Ароматы, произведенные в Италии, созданы на основе натуральных масел, с натуральными компонентами. Продукция вдохновлена древней идеей превратить ежедневный уход за телом в красивый ритуал, с помощью которого можно гармонизировать тело и душу. Парфюмерия данного бренда содержит традиционные восточные компоненты, использующиеся в течение многих веков при изготовлении косметики. Ароматические композиции разработаны ведущими мировыми парфюмерными компаниями и подойдут для подарка самым близким людям, потому что привлекательная и удобная упаковка имеет премиальный вид. Насладитесь роскошью гармонии Востока!","Нанести на тело или одежду, избегая попадания в глаза или на раздраженную кожу.  При необходимости повторить нанесение в течение дня.",Италия
8,https://goldapple.ru/82860100001-eau-de-parfum,MISSONI Eau de Parfum,4 670₽,4.7,"Парфюмерная вода Missoni Eau de Parfum — изысканный предмет роскоши известного итальянского бренда. Олицетворением этого аромата стала женщина — женственная, очаровательная и чувственная! Она с особым шиком носит Missoni, излучая неимоверную энергию и уверенность в себе. Оригинальный флакон этой парфюмерной воды выполнен из стекла, в очень красивом переливающемся дизайне.Встречает аромат нотами бергамота и дикой груши, немного лимона и цитрона. Продолжает чарующий своей нежностью магония и аккорд ""Петалии"". А завершает композицию Eau de Parfum сандал, бобы тонка и амброксан. Очаруйте окружающих своей женственностью и невероятной жаждой к жизни!",нет информации,Россия
9,https://goldapple.ru/19000316441-niche-perfume-hand-cream-miniature-gift-set,DUFT & DOFT Niche perfume hand cream miniature gift set,2 289₽,4.2,"В набор входят 4 увлажняющих крема для рук DUFT&DOFT в мини-формате (по 10 мл):- парфюмированный крем для рук NICHE PERFUME HAND CREAM DE BLANC с изысканным и свежим ароматом бергамота, жасмина, фрезии и мускуса;- парфюмированный крем для рук NICHE PERFUME HAND CREAM DEW GRASS с нежными и освежающими нотами петитгрейна, персика, сандала, ванили и мускуса;- парфюмированный крем для рук NICHE PERFUME HAND CREAM SPLASH c вдохновляющим фруктово-цветочным звучанием грейпфрута, черной смородины, персика и гардении;- парфюмированный крем для рук NICHE PERFUME HAND CREAM SAGE LEAF с элегантными зелеными аккордами кипариса, шалфея, свежей травы и древесным акцентом кедра.Каждый из этих кремов интенсивно увлажняет кожу рук, устраняя сухость и не оставляя липкости. Нежные средства быстро впитываются, окутывая руки легкой вуалью изысканного аромата.",Нанесите на кожу рук и распределите массирующими движениями.Используйте в течение дня по мере необходимости.,нет информации
